CMO,School Name,Year Open,City,State,Zip,Low Grade,High Grade,,,,,,,,,
Green Dot,Animo Locke Charter High School #1,2008,Los Angeles,CA,90061,09,09,,,,,,,,,
Green Dot,Animo Locke Charter High School #2,2008,Los Angeles,CA,90061,09,09,,,,,,,,,
Green Dot,Animo Locke Charter High School #3,2008,Los Angeles,CA,90061,09,09,,,,,,,,,
Green Dot,Animo Locke Charter High School #4,2008,,,,,,,,,,,,,,
Green Dot,Green Dot New York Charter School,2008,Bronx,NY,10455,09,09,,,,,,,,,
Harlem Children’s Zone,Harlem Children's Zone - The Promise Academy 1 Elementary,2004,New York,NY,10030,KG,03,,,,,,,,,
Harlem Children’s Zone,Harlem Children's Zone - The Promise Academy 1 Upper Elementary/Middle,2004,New York,NY,10035,04,06,,,,,,,,,
Harlem Children’s Zone,Harlem Children's Zone - The Promise Academy II School,2005,New York,NY,10035,KG,04,,,,,,,,,
Harlem Children’s Zone,Harlem Children's Zone - The Promise Academy 1 High,2008,New York,NY,10035,09,10,,,,,,,,,
Harlem Success Academy,Harlem Success Academy Charter School,2006,New York,NY,10026,,,,,,,,,,,
Harlem Success Academy,Harlem Success Academy Charter School 2,2008,New York,NY,10026,KG,01,,,,,,,,,
Harlem Success Academy,Harlem Success Academy Charter School 3,2008,New York,NY,10026,KG,01,,,,,,,,,
Harlem Success Academy,Harlem Success Academy Charter School 4,2008,New York,NY,10026,KG,01,,,,,,,,,
Harlem Village Academies,Harlem Village Academy Charter School,2003,New York,NY,10030,,,,,,,,,,,
Harlem Village Academies,Leadership Village Academy Charter School,2005,New York,NY,10035,,,,,,,,,,,
Harmony Schools,Harmony Science Academy,2000,Houston,TX,77096,06,12,,,,,,,,,
Harmony Schools,Harmony Science Academy - Austin,2002,Austin,TX,78753,06,12,,,,,,,,,
Harmony Schools,Harmony Science Academy -Dallas,2004,Dallas,TX,75243,PK,12,,,,,,,,,
Harmony Schools,Harmony School Of Innovation,2005,Houston,TX,77099,PK,08,,,,,,,,,
Harmony Schools,Harmony Science Acad (El Paso),2006,El Paso,TX,79901,KG,10,,,,,,,,,
